data;ora solare;valore;tipo
08/04/2016;23:05;0.85;max
09/04/2016;05:55;-0.16;min
09/04/2016;12:10;0.70;max
09/04/2016;17:45;0.12;min
09/04/2016;23:45;0.78;max
10/04/2016;06:55;-0.15;min
10/04/2016;13:05;0.60;max
10/04/2016;18:10;0.10;min
11/04/2016;00:15;0.69;max
11/04/2016;07:20;-0.13;min
11/04/2016;13:55;0.52;max
11/04/2016;18:45;0.18;min
12/04/2016;00:40;0.67;max
12/04/2016;08:00;-0.05;min
12/04/2016;14:30;0.45;max
12/04/2016;18:30;0.36;min
13/04/2016;00:55;0.56;max
13/04/2016;09:20;0.05;min
13/04/2016;17:35;0.60;max
13/04/2016;23:15;0.47;min
14/04/2016;01:05;0.54;max
14/04/2016;10:00;-0.02;min
14/04/2016;18:05;0.59;max
15/04/2016;03:45;0.20;min
15/04/2016;08:00;0.42;max
15/04/2016;12:50;0.11;min
15/04/2016;19:25;0.71;max
16/04/2016;02:25;0.16;min
16/04/2016;07:15;0.51;max
16/04/2016;12:50;0.12;min
16/04/2016;20:20;0.77;max
17/04/2016;02:55;0.20;min
17/04/2016;08:20;0.58;max
17/04/2016;14:00;0.18;min
17/04/2016;21:05;0.83;max
18/04/2016;03:25;0.13;min
18/04/2016;09:25;0.64;max
18/04/2016;15:05;0.15;min
18/04/2016;21:15;0.81;max
19/04/2016;03:40;-0.02;min
19/04/2016;09:25;0.68;max
19/04/2016;15:45;-0.01;min
19/04/2016;21:35;0.69;max
20/04/2016;03:35;-0.20;min
20/04/2016;09:45;0.56;max
20/04/2016;16:05;-0.07;min
20/04/2016;21:30;0.58;max
21/04/2016;03:40;-0.20;min
21/04/2016;10:40;0.62;max
21/04/2016;16:35;0.02;min
21/04/2016;22:20;0.61;max
22/04/2016;04:40;-0.06;min
22/04/2016;11:15;0.66;max
22/04/2016;16:50;0.01;min
22/04/2016;22:45;0.74;max
23/04/2016;05:30;-0.04;min
23/04/2016;11:50;0.64;max
23/04/2016;17:10;0.12;min
23/04/2016;23:10;0.85;max
24/04/2016;05:55;-0.08;min
24/04/2016;12:25;0.65;max
24/04/2016;17:05;0.26;min
24/04/2016;23:10;0.86;max
25/04/2016;06:30;-0.11;min
25/04/2016;12:55;0.62;max
25/04/2016;18:10;0.28;min
25/04/2016;23:30;0.71;max
26/04/2016;06:35;-0.07;min
26/04/2016;14:20;0.68;max
26/04/2016;18:25;0.51;min
27/04/2016;00:15;0.75;max
27/04/2016;06:50;0.10;min
27/04/2016;14:35;0.75;max
27/04/2016;18:55;0.49;min
28/04/2016;00:50;0.67;max
28/04/2016;07:25;0.02;min
28/04/2016;16:20;0.69;max
28/04/2016;22:35;0.35;min
29/04/2016;01:25;0.43;max
29/04/2016;07:55;0.05;min
29/04/2016;16:05;0.56;max
29/04/2016;23:45;0.20;min
30/04/2016;04:55;0.31;max
30/04/2016;10:10;0.09;min
30/04/2016;18:20;0.50;max
01/05/2016;00:25;0.17;min
01/05/2016;06:35;0.50;max
01/05/2016;12:30;0.06;min
