Data;Ora solare;Valore;Tipo
29/04/2011;20:50;74; max
30/04/2011;03:50;-8; min
30/04/2011;09:35;50; max
30/04/2011;14:40;14; min
30/04/2011;21:20;84; max
01/05/2011;04:20;-3; min
01/05/2011;09:55;60; max
01/05/2011;15:05;14; min
01/05/2011;21:30;84; max
02/05/2011;04:15;-3; min
02/05/2011;10:25;61; max
02/05/2011;15:15;18; min
02/05/2011;21:50;84; max
03/05/2011;04:55;4; min
03/05/2011;11:10;68; max
03/05/2011;17:05;34; min
03/05/2011;23:10;88; max
04/05/2011;05:45;1; min
04/05/2011;12:05;77; max
04/05/2011;17:25;27; min
04/05/2011;23:20;84; max
05/05/2011;06:00;-12; min
05/05/2011;12:15;65; max
05/05/2011;17:10;15; min
05/05/2011;23:05;68; max
06/05/2011;06:00;-12; min
06/05/2011;12:30;58; max
06/05/2011;18:15;18; min
06/05/2011;23:40;61; max
07/05/2011;07:00;-12; min
07/05/2011;13:50;47; max
07/05/2011;18:35;19; min
08/05/2011;00:15;60; max
08/05/2011;07:55;-15; min
08/05/2011;15:25;49; max
08/05/2011;18:15;35; min
08/05/2011;23:40;75; max
09/05/2011;09:10;-30; min
09/05/2011;18:30;52; max
10/05/2011;09:35;-27; min
10/05/2011;17:40;55; max
11/05/2011;09:50;-14; min
11/05/2011;18:05;53; max
12/05/2011;01:40;2; min
12/05/2011;07:10;28; max
12/05/2011;12:15;-7; min
12/05/2011;19:30;66; max
13/05/2011;01:50;-4; min
13/05/2011;07:35;40; max
13/05/2011;13:20;-11; min
13/05/2011;19:55;67; max
14/05/2011;02:45;-12; min
14/05/2011;08:40;40; max
14/05/2011;13:45;-3; min
14/05/2011;20:40;82; max
15/05/2011;03:45;-17; min
15/05/2011;09:45;49; max
15/05/2011;15:00;-1; min
15/05/2011;21:40;82; max
16/05/2011;04:35;-43; min
16/05/2011;10:50;44; max
16/05/2011;16:20;2; min
16/05/2011;21:35;69; max
17/05/2011;04:35;-42; min
17/05/2011;11:15;44; max
17/05/2011;16:05;2; min
17/05/2011;22:10;68; max
18/05/2011;05:30;-41; min
18/05/2011;12:20;49; max
18/05/2011;17:05;9; min
18/05/2011;23:00;67; max
19/05/2011;06:15;-37; min
19/05/2011;12:35;48; max
19/05/2011;17:40;13; min
19/05/2011;23:25;68; max
20/05/2011;06:45;-32; min
20/05/2011;13:30;48; max
20/05/2011;18:05;20; min
20/05/2011;23:30;59; max
21/05/2011;07:05;-31; min
21/05/2011;13:50;41; max
21/05/2011;18:30;24; min
22/05/2011;00:05;41; max
22/05/2011;07:20;-24; min
22/05/2011;16:00;49; max
22/05/2011;20:40;21; min
23/05/2011;00:55;33; max
23/05/2011;08:15;-24; min
23/05/2011;15:50;45; max
23/05/2011;21:30;15; min
24/05/2011;01:30;25; max
24/05/2011;08:05;-14; min
24/05/2011;17:00;44; max
24/05/2011;23:55;14; min
25/05/2011;02:40;19; max
25/05/2011;09:35;-8; min
25/05/2011;18:05;45; max
26/05/2011;02:10;4; min
26/05/2011;07:15;13; max
26/05/2011;11:20;2; min
26/05/2011;19:20;60; max
27/05/2011;02:20;-1; min
27/05/2011;08:00;33; max
27/05/2011;12:25;14; min
27/05/2011;19:55;78; max
28/05/2011;01:55;0; min
28/05/2011;08:30;32; max
28/05/2011;12:40;13; min
28/05/2011;19:45;69; max
29/05/2011;03:45;-12; min
29/05/2011;09:45;39; max
29/05/2011;14:10;10; min
29/05/2011;20:45;70; max
30/05/2011;03:50;-21; min
30/05/2011;10:15;52; max
30/05/2011;14:55;17; min
30/05/2011;21:00;77; max
31/05/2011;04:10;-20; min
31/05/2011;10:35;54; max
31/05/2011;15:10;23; min
31/05/2011;21:25;84; max
01/06/2011;04:45;-20; min
01/06/2011;11:20;60; max
01/06/2011;15:35;31; min
01/06/2011;21:15;76; max
02/06/2011;05:00;-31; min
02/06/2011;12:05;59; max
02/06/2011;17:10;22; min
02/06/2011;22:20;68; max
03/06/2011;05:30;-32; min
03/06/2011;12:25;59; max
03/06/2011;17:25;15; min
03/06/2011;23:10;64; max
04/06/2011;06:15;-29; min
04/06/2011;12:55;59; max
04/06/2011;18:15;15; min
04/06/2011;23:40;63; max
05/06/2011;06:45;-29; min
05/06/2011;13:35;55; max
05/06/2011;17:55;31; min
06/06/2011;00:00;60; max
06/06/2011;07:05;-20; min
06/06/2011;15:25;61; max
06/06/2011;20:35;25; min
07/06/2011;00:40;54; max
07/06/2011;08:20;-20; min
07/06/2011;15:45;87; max
07/06/2011;21:10;41; min
08/06/2011;00:45;52; max
08/06/2011;08:30;-3; min
08/06/2011;14:55;82; max
08/06/2011;22:20;27; min
09/06/2011;02:10;33; max
09/06/2011;08:45;11; min
09/06/2011;16:55;77; max
10/06/2011;01:15;9; min
10/06/2011;07:25;35; max
10/06/2011;11:15;17; min
10/06/2011;18:05;76; max
11/06/2011;01:35;-6; min
11/06/2011;07:45;46; max
11/06/2011;12:45;15; min
11/06/2011;18:40;76; max
12/06/2011;02:30;-14; min
12/06/2011;09:00;46; max
12/06/2011;13:20;27; min
12/06/2011;19:30;72; max
13/06/2011;03:10;-17; min
13/06/2011;10:05;60; max
13/06/2011;15:00;23; min
13/06/2011;20:45;75; max
14/06/2011;04:00;-22; min
14/06/2011;10:35;57; max
14/06/2011;15:15;19; min
14/06/2011;21:20;81; max
15/06/2011;04:50;-24; min
15/06/2011;11:15;59; max
15/06/2011;16:05;20; min
15/06/2011;22:10;83; max
16/06/2011;05:20;-25; min
16/06/2011;12:05;61; max
16/06/2011;16:55;26; min
16/06/2011;22:45;84; max
17/06/2011;05:45;-24; min
17/06/2011;13:15;64; max
17/06/2011;17:25;31; min
17/06/2011;23:00;80; max
18/06/2011;06:15;-24; min
18/06/2011;13:45;69; max
18/06/2011;18:30;39; min
18/06/2011;23:30;80; max
19/06/2011;07:05;-14; min
19/06/2011;13:55;66; max
19/06/2011;18:55;39; min
19/06/2011;23:40;63; max
20/06/2011;07:30;-19; min
20/06/2011;14:45;64; max
