data;ora solare;valore;tipo;;
14/04/2013;06:30;-0.19;min;;
14/04/2013;13:15;0.48;max;;
14/04/2013;18:35;0.09;min;;
15/04/2013;00:10;0.51;max;;
15/04/2013;07:05;-0.19;min;;
15/04/2013;13:20;0.39;max;;
15/04/2013;18:35;0.10;min;;
16/04/2013;00:20;0.50;max;;
16/04/2013;07:45;-0.12;min;;
16/04/2013;13:55;0.34;max;;
16/04/2013;18:25;0.16;min;;
17/04/2013;00:05;0.39;max;;
17/04/2013;08:05;-0.09;min;;
17/04/2013;17:10;0.30;max;;
17/04/2013;22:00;0.24;min;;
18/04/2013;00:05;0.26;max;;
18/04/2013;10:25;-0.11;min;;
18/04/2013;18:05;0.37;max;;
19/04/2013;11:50;-0.09;min;;
19/04/2013;19:15;0.53;max;;
20/04/2013;01:20;0.16;min;;
20/04/2013;07:05;0.35;max;;
20/04/2013;12:55;-0.02;min;;
20/04/2013;19:40;0.54;max;;
21/04/2013;02:35;-0.02;min;;
21/04/2013;08:15;0.36;max;;
21/04/2013;13:25;-0.02;min;;
21/04/2013;20:05;0.60;max;;
22/04/2013;02:45;-0.12;min;;
22/04/2013;08:55;0.48;max;;
22/04/2013;14:40;0.03;min;;
22/04/2013;21:00;0.71;max;;
23/04/2013;03:35;-0.16;min;;
23/04/2013;09:30;0.48;max;;
23/04/2013;14:55;-0.05;min;;
23/04/2013;21:05;0.68;max;;
24/04/2013;03:55;-0.31;min;;
24/04/2013;10:00;0.43;max;;
24/04/2013;15:25;-0.13;min;;
24/04/2013;21:40;0.55;max;;
25/04/2013;04:20;-0.45;min;;
25/04/2013;10:30;0.40;max;;
25/04/2013;16:05;-0.19;min;;
25/04/2013;22:15;0.55;max;;
26/04/2013;04:45;-0.38;min;;
26/04/2013;11:50;0.46;max;;
26/04/2013;17:10;-0.13;min;;
26/04/2013;23:25;0.75;max;;
27/04/2013;05:35;-0.34;min;;
27/04/2013;12:05;0.57;max;;
27/04/2013;16:45;0.08;min;;
27/04/2013;22:55;0.92;max;;
28/04/2013;06:25;-0.17;min;;
28/04/2013;13:00;0.43;max;;
28/04/2013;17:55;0.19;min;;
28/04/2013;23:50;0.68;max;;
29/04/2013;07:25;-0.23;min;;
29/04/2013;14:35;0.44;max;;
29/04/2013;19:30;0.19;min;;
30/04/2013;00:40;0.58;max;;
30/04/2013;07:45;-0.26;min;;
30/04/2013;15:20;0.49;max;;
30/04/2013;20:15;0.22;min;;
01/05/2013;00:55;0.50;max;;
01/05/2013;08:15;-0.19;min;;
01/05/2013;16:30;0.47;max;;
01/05/2013;23:40;0.27;min;;
02/05/2013;01:10;0.34;max;;
02/05/2013;08:20;-0.11;min;;
02/05/2013;19:15;0.54;max;;
03/05/2013;01:10;0.16;min;;
03/05/2013;03:50;0.23;max;;
03/05/2013;11:20;-0.02;min;;
03/05/2013;19:30;0.64;max;;
04/05/2013;01:45;0.04;min;;
04/05/2013;06:45;0.34;max;;
04/05/2013;12:10;0.02;min;;
04/05/2013;19:50;0.63;max;;
05/05/2013;02:15;-0.06;min;;
05/05/2013;07:45;0.40;max;;
05/05/2013;13:50;0.05;min;;
05/05/2013;19:45;0.69;max;;
06/05/2013;03:05;-0.06;min;;
06/05/2013;08:55;0.52;max;;
06/05/2013;14:15;0.05;min;;
06/05/2013;20:35;0.77;max;;
07/05/2013;03:45;-0.10;min;;
07/05/2013;09:45;0.57;max;;
07/05/2013;14:55;0.12;min;;
07/05/2013;21:05;0.81;max;;
08/05/2013;04:15;-0.16;min;;
08/05/2013;10:05;0.57;max;;
08/05/2013;15:25;0.09;min;;
08/05/2013;21:45;0.73;max;;
09/05/2013;04:40;-0.24;min;;
09/05/2013;11:00;0.54;max;;
09/05/2013;15:55;0.09;min;;
09/05/2013;22:15;0.78;max;;
10/05/2013;04:50;-0.17;min;;
10/05/2013;11:20;0.64;max;;
10/05/2013;16:20;0.19;min;;
10/05/2013;22:15;0.84;max;;
11/05/2013;05:10;-0.15;min;;
11/05/2013;11:50;0.64;max;;
11/05/2013;16:50;0.25;min;;
11/05/2013;22:45;0.79;max;;
12/05/2013;06:00;-0.20;min;;
12/05/2013;12:25;0.64;max;;
12/05/2013;17:25;0.29;min;;
12/05/2013;23:15;0.71;max;;
13/05/2013;05:50;-0.19;min;;
13/05/2013;13:10;0.56;max;;
13/05/2013;18:00;0.22;min;;
13/05/2013;22:45;0.58;max;;
14/05/2013;06:05;-0.12;min;;
14/05/2013;13:10;0.59;max;;
14/05/2013;19:00;0.25;min;;
15/05/2013;00:20;0.56;max;;
15/05/2013;06:50;0.04;min;;
15/05/2013;14:40;0.55;max;;
15/05/2013;18:45;0.38;min;;
16/05/2013;01:20;0.65;max;;
16/05/2013;07:00;0.34;min;;
16/05/2013;15:50;1.10;max;;
17/05/2013;09:00;0.20;min;;
17/05/2013;17:10;0.83;max;;
18/05/2013;00:40;0.35;min;;
18/05/2013;02:55;0.41;max;;
18/05/2013;10:05;0.09;min;;
18/05/2013;16:55;0.80;max;;
19/05/2013;00:15;0.22;min;;
19/05/2013;10:25;0.47;max;;
19/05/2013;12:10;0.36;min;;
19/05/2013;18:30;0.78;max;;
