Data;Ora solare;Valore ;Tipo
2012-07-18;10:55;57; max
2012-07-18;16:30;5; min
2012-07-18;21:55;53; max
2012-07-19;04:35;-28; min
2012-07-19;11:30;62; max
2012-07-19;16:55;7; min
2012-07-19;23:00;68; max
2012-07-20;05:35;-18; min
2012-07-20;12:05;60; max
2012-07-20;17:20;7; min
2012-07-20;23:30;78; max
2012-07-21;06:35;-23; min
2012-07-21;12:15;54; max
2012-07-21;17:25;3; min
2012-07-21;23:55;76; max
2012-07-22;06:55;-32; min
2012-07-22;13:55;67; max
2012-07-22;18:45;23; min
2012-07-22;23:45;60; max
2012-07-23;06:55;-29; min
2012-07-23;13:55;81; max
2012-07-23;20:05;17; min
2012-07-24;00:35;45; max
2012-07-24;06:50;-13; min
2012-07-24;13:50;77; max
2012-07-24;21:35;13; min
2012-07-25;01:40;34; max
2012-07-25;06:40;10; min
2012-07-25;14:40;71; max
2012-07-25;22:20;3; min
2012-07-26;04:25;30; max
2012-07-26;09:10;14; min
2012-07-26;15:25;63; max
2012-07-26;23:30;-4; min
2012-07-27;06:10;28; max
2012-07-27;10:25;20; min
2012-07-27;17:05;56; max
2012-07-28;00:55;-1; min
2012-07-28;08:15;39; max
2012-07-28;12:25;27; min
2012-07-28;18:35;68; max
2012-07-29;02:20;-3; min
2012-07-29;08:50;52; max
2012-07-29;13:25;26; min
2012-07-29;19:30;80; max
2012-07-30;03:15;-17; min
2012-07-30;10:00;54; max
2012-07-30;14:25;20; min
2012-07-30;20:30;75; max
2012-07-31;03:55;-31; min
2012-07-31;10:45;58; max
2012-07-31;15:45;16; min
2012-07-31;21:15;71; max
2012-08-01;04:20;-34; min
2012-08-01;11:20;65; max
2012-08-01;16:35;13; min
2012-08-01;22:00;69; max
2012-08-02;04:50;-31; min
2012-08-02;11:50;73; max
2012-08-02;17:25;8; min
2012-08-02;22:45;72; max
2012-08-03;05:15;-22; min
2012-08-03;12:00;75; max
2012-08-03;17:45;8; min
2012-08-03;23:20;71; max
2012-08-04;05:55;-19; min
2012-08-04;12:30;71; max
2012-08-04;18:05;12; min
2012-08-04;23:50;67; max
2012-08-05;06:15;-12; min
2012-08-05;13:10;74; max
2012-08-05;19:00;16; min
2012-08-06;00:15;64; max
2012-08-06;06:30;-9; min
2012-08-06;13:30;71; max
2012-08-06;19:25;20; min
2012-08-07;00:25;53; max
2012-08-07;06:40;-10; min
2012-08-07;13:35;59; max
2012-08-07;19:45;13; min
2012-08-08;00:45;37; max
2012-08-08;06:45;-1; min
2012-08-08;14:10;53; max
2012-08-08;20:55;10; min
2012-08-09;02:25;34; max
2012-08-09;07:25;9; min
2012-08-09;15:00;59; max
2012-08-09;23:20;7; min
2012-08-10;02:35;20; max
2012-08-10;05:55;13; min
2012-08-10;15:30;54; max
2012-08-10;23:10;0; min
2012-08-11;16:40;53; max
2012-08-12;01:30;-7; min
2012-08-12;09:40;55; max
2012-08-12;15:15;36; min
2012-08-12;18:55;46; max
2012-08-13;02:05;-10; min
2012-08-13;09:10;63; max
2012-08-13;14:50;23; min
2012-08-13;20:30;59; max
2012-08-14;02:55;-8; min
2012-08-14;09:30;60; max
2012-08-14;14:40;17; min
2012-08-14;20:35;64; max
2012-08-15;03:45;-13; min
2012-08-15;10:00;57; max
2012-08-15;15:05;13; min
2012-08-15;21:25;75; max
2012-08-16;04:20;-19; min
2012-08-16;10:40;63; max
2012-08-16;15:55;13; min
2012-08-16;22:05;78; max
2012-08-17;05:00;-28; min
2012-08-17;11:20;64; max
2012-08-17;16:45;8; min
2012-08-17;22:25;71; max
2012-08-18;05:00;-34; min
2012-08-18;11:45;69; max
2012-08-18;17:25;3; min
2012-08-18;22:55;61; max
2012-08-19;05:25;-28; min
2012-08-19;12:10;73; max
2012-08-19;18:10;-1; min
2012-08-19;23:50;54; max
2012-08-20;05:45;-21; min
2012-08-20;12:35;73; max
2012-08-20;18:40;-6; min
2012-08-21;00:25;53; max
2012-08-21;06:15;-10; min
2012-08-21;12:45;72; max
2012-08-21;19:10;-5; min
2012-08-22;01:05;47; max
2012-08-22;06:45;-1; min
2012-08-22;13:30;69; max
2012-08-22;19:55;2; min
2012-08-23;01:40;45; max
2012-08-23;07:10;8; min
2012-08-23;13:45;64; max
2012-08-23;21:05;8; min
2012-08-24;02:50;37; max
2012-08-24;07:20;19; min
2012-08-24;14:55;66; max
2012-08-24;22:10;15; min
2012-08-25;08:00;38; max
2012-08-25;09:20;36; min
2012-08-25;17:05;66; max
2012-08-26;01:50;7; min
2012-08-26;09:50;52; max
2012-08-26;12:15;32; min
