data;ora solare;valore;tipo;
28/04/2014;15:45;0.33;min;
28/04/2014;22:00;0.98;max;
29/04/2014;05:10;-0.11;min;
29/04/2014;11:15;0.77;max;
29/04/2014;16:25;0.23;min;
29/04/2014;22:35;0.93;max;
30/04/2014;05:35;-0.11;min;
30/04/2014;11:45;0.74;max;
30/04/2014;16:50;0.26;min;
30/04/2014;22:50;0.85;max;
01/05/2014;05:35;-0.16;min;
01/05/2014;12:55;0.61;max;
01/05/2014;16:55;0.30;min;
01/05/2014;23:15;0.77;max;
02/05/2014;06:25;-0.08;min;
02/05/2014;13:30;0.74;max;
02/05/2014;19:00;0.31;min;
02/05/2014;23:35;0.74;max;
03/05/2014;06:35;-0.11;min;
03/05/2014;13:25;0.79;max;
03/05/2014;19:15;0.42;min;
03/05/2014;23:25;0.65;max;
04/05/2014;07:15;-0.07;min;
04/05/2014;14:35;0.63;max;
04/05/2014;20:05;0.35;min;
05/05/2014;00:05;0.50;max;
05/05/2014;08:05;0.01;min;
05/05/2014;15:40;0.53;max;
05/05/2014;20:55;0.28;min;
06/05/2014;01:20;0.39;max;
06/05/2014;08:50;0.11;min;
06/05/2014;16:25;0.52;max;
06/05/2014;23:15;0.33;min;
07/05/2014;03:35;0.39;max;
07/05/2014;11:15;0.15;min;
07/05/2014;18:20;0.58;max;
07/05/2014;23:15;0.27;min;
08/05/2014;00:15;0.31;max;
08/05/2014;02:50;0.26;min;
08/05/2014;06:10;0.36;max;
08/05/2014;12:00;0.01;min;
08/05/2014;19:25;0.58;max;
09/05/2014;02:25;0.12;min;
09/05/2014;06:45;0.30;max;
09/05/2014;12:35;0.02;min;
09/05/2014;19:45;0.66;max;
10/05/2014;02:50;0.04;min;
10/05/2014;08:05;0.39;max;
10/05/2014;13:25;0.04;min;
10/05/2014;20:25;0.76;max;
11/05/2014;03:00;-0.02;min;
11/05/2014;08:55;0.52;max;
11/05/2014;13:50;0.13;min;
11/05/2014;21:40;0.85;max;
12/05/2014;03:55;-0.03;min;
12/05/2014;09:45;0.53;max;
12/05/2014;14:35;0.06;min;
12/05/2014;20:35;0.84;max;
13/05/2014;04:25;-0.15;min;
13/05/2014;10:20;0.57;max;
13/05/2014;15:05;0.17;min;
13/05/2014;21:30;0.82;max;
14/05/2014;05:05;-0.28;min;
14/05/2014;11:20;0.52;max;
14/05/2014;16:25;0.04;min;
14/05/2014;22:10;0.70;max;
15/05/2014;05:15;-0.39;min;
15/05/2014;11:20;0.45;max;
15/05/2014;16:35;0.00;min;
15/05/2014;22:30;0.65;max;
16/05/2014;05:40;-0.45;min;
16/05/2014;13:10;0.46;max;
16/05/2014;17:20;0.22;min;
16/05/2014;23:10;0.70;max;
17/05/2014;06:05;-0.39;min;
17/05/2014;14:05;0.60;max;
17/05/2014;19:00;0.23;min;
17/05/2014;23:45;0.64;max;
18/05/2014;06:25;-0.31;min;
18/05/2014;14:05;0.62;max;
18/05/2014;19:00;0.29;min;
18/05/2014;23:55;0.60;max;
19/05/2014;07:05;-0.17;min;
19/05/2014;14:55;0.50;max;
19/05/2014;20:40;0.19;min;
20/05/2014;01:35;0.34;max;
20/05/2014;08:30;-0.16;min;
20/05/2014;16:45;0.52;max;
20/05/2014;23:15;0.06;min;
21/05/2014;03:15;0.31;max;
21/05/2014;09:45;-0.17;min;
21/05/2014;17:10;0.50;max;
21/05/2014;23:25;0.07;min;
22/05/2014;04:20;0.27;max;
22/05/2014;10:35;-0.05;min;
22/05/2014;18:45;0.59;max;
23/05/2014;01:25;0.07;min;
23/05/2014;06:20;0.35;max;
23/05/2014;11:50;0.03;min;
23/05/2014;19:15;0.69;max;
24/05/2014;02:25;-0.06;min;
24/05/2014;08:00;0.37;max;
24/05/2014;12:45;0.04;min;
24/05/2014;19:35;0.70;max;
25/05/2014;03:20;-0.17;min;
25/05/2014;09:05;0.36;max;
25/05/2014;14:00;0.04;min;
25/05/2014;20:35;0.74;max;
26/05/2014;03:30;-0.29;min;
26/05/2014;09:45;0.44;max;
26/05/2014;14:30;0.11;min;
26/05/2014;21:20;0.70;max;
27/05/2014;04:05;-0.29;min;
27/05/2014;10:30;0.55;max;
27/05/2014;15:20;0.13;min;
27/05/2014;21:15;0.77;max;
28/05/2014;04:35;-0.28;min;
28/05/2014;11:15;0.56;max;
28/05/2014;16:00;0.16;min;
28/05/2014;21:55;0.77;max;
29/05/2014;05:20;-0.25;min;
29/05/2014;11:40;0.54;max;
29/05/2014;16:35;0.20;min;
29/05/2014;22:30;0.76;max;
30/05/2014;05:50;-0.25;min;
30/05/2014;12:30;0.58;max;
30/05/2014;17:15;0.21;min;
30/05/2014;22:55;0.75;max;
31/05/2014;06:25;-0.23;min;
31/05/2014;12:55;0.58;max;
31/05/2014;18:25;0.20;min;
31/05/2014;23:10;0.59;max;
01/06/2014;06:20;-0.30;min;
01/06/2014;13:15;0.56;max;
01/06/2014;18:10;0.18;min;
01/06/2014;23:45;0.50;max;
02/06/2014;07:10;-0.19;min;
02/06/2014;14:15;0.50;max;
02/06/2014;19:50;0.17;min;
03/06/2014;00:50;0.37;max;
03/06/2014;07:35;-0.18;min;
03/06/2014;15:05;0.53;max;
03/06/2014;20:35;0.12;min;
04/06/2014;01:00;0.42;max;
04/06/2014;07:30;-0.09;min;
04/06/2014;15:35;0.54;max;
04/06/2014;20:55;0.26;min;
05/06/2014;01:55;0.38;max;
05/06/2014;09:05;0.02;min;
05/06/2014;16:50;0.54;max;
06/06/2014;10:25;0.02;min;
06/06/2014;18:05;0.54;max;
07/06/2014;01:05;0.05;min;
07/06/2014;06:20;0.23;max;
07/06/2014;11:35;0.00;min;
07/06/2014;18:30;0.57;max;
08/06/2014;01:50;-0.07;min;
08/06/2014;07:25;0.27;max;
08/06/2014;12:20;0.01;min;
08/06/2014;18:55;0.60;max;
09/06/2014;02:35;-0.14;min;
09/06/2014;08:50;0.34;max;
09/06/2014;13:25;0.07;min;
