Data;Ora solare;Valore;Tipo;;
2009-06-02;02:25;-5;min;;
2009-06-02;08:10;35;max;;
2009-06-02;12:15;19;min;;
2009-06-02;18:50;69;max;;
2009-06-03;02:15;-15;min;;
2009-06-03;09:05;45;max;;
2009-06-03;13:25;20;min;;
2009-06-03;19:25;73;max;;
2009-06-04;02:25;-7;min;;
2009-06-04;08:55;59;max;;
2009-06-04;13:55;30;min;;
2009-06-04;20:25;78;max;;
2009-06-05;03:45;0;min;;
2009-06-05;10:15;60;max;;
2009-06-05;14:55;32;min;;
2009-06-05;21:00;87;max;;
2009-06-06;04:00;-3;min;;
2009-06-06;11:40;86;max;;
2009-06-06;15:10;61;min;;
2009-06-06;20:10;105;max;;
2009-06-07;04:45;-13;min;;
2009-06-07;11:35;71;max;;
2009-06-07;15:40;54;min;;
2009-06-07;21:15;93;max;;
2009-06-08;04:55;-18;min;;
2009-06-08;12:45;69;max;;
2009-06-08;17:30;41;min;;
2009-06-08;21:50;76;max;;
2009-06-09;05:30;-16;min;;
2009-06-09;12:30;72;max;;
2009-06-09;17:30;39;min;;
2009-06-09;22:25;74;max;;
2009-06-10;06:05;-13;min;;
2009-06-10;12:30;67;max;;
2009-06-10;18:30;33;min;;
2009-06-10;23:25;75;max;;
2009-06-11;06:30;-12;min;;
2009-06-11;14:00;63;max;;
2009-06-11;17:50;36;min;;
2009-06-11;23:25;76;max;;
2009-06-12;06:55;-9;min;;
2009-06-12;14:45;58;max;;
2009-06-12;19:15;42;min;;
2009-06-12;23:55;64;max;;
2009-06-13;07:15;-12;min;;
2009-06-13;15:25;63;max;;
2009-06-13;20:55;38;min;;
2009-06-14;00:40;48;max;;
2009-06-14;08:05;-8;min;;
2009-06-14;16:15;68;max;;
2009-06-14;22:20;29;min;;
2009-06-15;01:50;36;max;;
2009-06-15;08:15;2;min;;
2009-06-15;16:55;72;max;;
2009-06-16;00:05;20;min;;
2009-06-16;04:05;32;max;;
2009-06-16;09:05;13;min;;
2009-06-16;17:40;75;max;;
2009-06-17;01:20;9;min;;
2009-06-17;06:40;38;max;;
2009-06-17;11:05;17;min;;
2009-06-17;18:40;67;max;;
2009-06-18;01:50;-14;min;;
2009-06-18;07:05;31;max;;
2009-06-18;12:00;20;min;;
2009-06-18;19:00;67;max;;
2009-06-19;02:30;-11;min;;
2009-06-19;08:50;50;max;;
2009-06-19;13:05;24;min;;
2009-06-19;19:50;84;max;;
2009-06-20;03:45;-5;min;;
2009-06-20;09:25;59;max;;
2009-06-20;12:15;30;min;;
2009-06-20;20:40;95;max;;
2009-06-21;03:25;-12;min;;
2009-06-21;10:45;67;max;;
2009-06-21;15:15;36;min;;
2009-06-21;20:55;89;max;;
2009-06-22;05:00;-24;min;;
2009-06-22;11:30;68;max;;
2009-06-22;16:10;24;min;;
2009-06-22;22:10;81;max;;
2009-06-23;05:20;-27;min;;
2009-06-23;12:15;69;max;;
2009-06-23;17:15;28;min;;
2009-06-23;22:45;83;max;;
2009-06-24;06:00;-30;min;;
2009-06-24;12:55;70;max;;
2009-06-24;17:50;28;min;;
2009-06-24;23:35;78;max;;
2009-06-25;06:35;-24;min;;
2009-06-25;13:40;75;max;;
2009-06-25;18:45;31;min;;
2009-06-26;00:00;71;max;;
2009-06-26;07:10;-16;min;;
2009-06-26;14:20;74;max;;
2009-06-26;20:00;28;min;;
2009-06-27;01:05;66;max;;
2009-06-27;07:50;-12;min;;
2009-06-27;14:45;76;max;;
2009-06-27;20:40;27;min;;
2009-06-28;00:45;50;max;;
2009-06-28;07:20;2;min;;
2009-06-28;15:25;76;max;;
2009-06-28;21:45;23;min;;
2009-06-29;02:00;32;max;;
2009-06-29;08:00;11;min;;
2009-06-29;16:15;70;max;;
2009-06-30;00:15;12;min;;
2009-06-30;05:50;26;max;;
2009-06-30;09:50;20;min;;
2009-06-30;16:40;69;max;;
2009-07-01;01:35;6;min;;
2009-07-01;08:30;32;max;;
2009-07-01;12:05;30;min;;
2009-07-01;18:10;65;max;;
2009-07-02;02:30;-3;min;;
2009-07-02;09:35;43;max;;
2009-07-02;13:00;31;min;;
2009-07-02;19:10;70;max;;
2009-07-03;03:05;-8;min;;
2009-07-03;09:50;49;max;;
2009-07-03;14:00;31;min;;
2009-07-03;19:50;71;max;;
2009-07-04;03:25;-15;min;;
2009-07-04;10:00;54;max;;
2009-07-04;14:40;32;min;;
2009-07-04;20:25;73;max;;
2009-07-05;03:55;-20;min;;
2009-07-05;11:00;57;max;;
2009-07-05;15:40;29;min;;
2009-07-05;21:05;79;max;;
2009-07-06;04:25;-18;min;;
2009-07-06;11:15;63;max;;
2009-07-06;16:20;30;min;;
2009-07-06;21:50;80;max;;
2009-07-07;05:00;-16;min;;
2009-07-07;11:50;70;max;;
2009-07-07;16:10;40;min;;
2009-07-07;22:15;84;max;;
2009-07-08;05:50;-13;min;;
2009-07-08;12:45;70;max;;
2009-07-08;17:35;33;min;;
2009-07-08;22:50;79;max;;
2009-07-09;06:00;-22;min;;
2009-07-09;12:55;71;max;;
2009-07-09;18:05;28;min;;
2009-07-09;23:35;71;max;;
2009-07-10;06:10;-24;min;;
2009-07-10;12:50;74;max;;
2009-07-10;18:00;24;min;;
2009-07-10;23:05;67;max;;
2009-07-11;06:15;-20;min;;
2009-07-11;13:45;61;max;;
2009-07-11;19:35;26;min;;
2009-07-12;00:10;53;max;;
2009-07-12;06:40;-20;min;;
2009-07-12;14:20;66;max;;
2009-07-12;20:40;18;min;;
2009-07-13;01:05;38;max;;
2009-07-13;06:45;-13;min;;
2009-07-13;14:40;65;max;;
2009-07-13;21:00;7;min;;
2009-07-14;01:55;31;max;;
2009-07-14;07:15;-5;min;;
2009-07-14;14:45;61;max;;
2009-07-14;22:10;5;min;;
2009-07-15;03:10;28;max;;
2009-07-15;07:50;4;min;;
2009-07-15;16:05;57;max;;
2009-07-15;23:10;0;min;;
2009-07-16;04:25;22;max;;
2009-07-16;09:10;3;min;;
2009-07-16;16:25;54;max;;
2009-07-17;01:10;-6;min;;
2009-07-17;18:30;68;max;;
2009-07-18;02:25;-6;min;;
2009-07-18;09:25;51;max;;
2009-07-18;12:30;28;min;;
2009-07-18;18:40;61;max;;
2009-07-19;03:05;-30;min;;
2009-07-19;11:05;53;max;;
2009-07-19;15:05;26;min;;
2009-07-19;20:05;62;max;;
2009-07-20;03:50;-40;min;;
2009-07-20;10:25;58;max;;
2009-07-20;15:30;15;min;;
2009-07-20;21:10;65;max;;
2009-07-21;04:20;-43;min;;
2009-07-21;10:55;57;max;;
2009-07-21;16:10;6;min;;
2009-07-21;22:00;65;max;;
2009-07-22;05:05;-43;min;;
2009-07-22;11:45;57;max;;
2009-07-22;17:00;2;min;;
2009-07-22;22:55;68;max;;
2009-07-23;05:45;-43;min;;
2009-07-23;12:25;61;max;;
2009-07-23;17:30;8;min;;
2009-07-23;23:15;72;max;;
2009-07-24;06:25;-35;min;;
2009-07-24;12:50;62;max;;
2009-07-24;18:20;8;min;;
2009-07-24;23:50;68;max;;
2009-07-25;06:35;-33;min;;
2009-07-25;13:40;67;max;;
2009-07-25;19:15;2;min;;
2009-07-26;00:25;53;max;;
2009-07-26;06:55;-25;min;;
2009-07-26;14:10;62;max;;
2009-07-26;20:20;-1;min;;
2009-07-27;00:50;24;max;;
2009-07-27;06:25;-17;min;;
2009-07-27;14:20;64;max;;
2009-07-27;21:25;-7;min;;
2009-07-28;02:30;18;max;;
2009-07-28;07:00;7;min;;
2009-07-28;14:00;61;max;;
2009-07-28;22:10;-6;min;;
2009-07-29;14:50;44;max;;
2009-07-29;23:15;-3;min;;
2009-07-30;08:00;30;max;;
2009-07-30;11:35;27;min;;
2009-07-30;17:05;42;max;;
2009-07-31;01:45;-3;min;;
2009-07-31;08:35;37;max;;
2009-07-31;12:55;20;min;;
2009-07-31;18:35;48;max;;
2009-08-01;02:35;-10;min;;
2009-08-01;09:35;39;max;;
2009-08-01;13:40;24;min;;
2009-08-01;19:35;59;max;;
2009-08-02;03:20;-14;min;;
