Data;Ora;Valore;Tipo;ID staz
1998-05-18;1:05;32;max;00251
1998-05-18;8:20;-5;min;00251
1998-05-18;16:45;47;max;00251
1998-05-18;23:20;9;min;00251
1998-05-19;4:20;27;max;00251
1998-05-19;10:35;-5;min;00251
1998-05-19;18:25;43;max;00251
1998-05-20;0:25;-2;min;00251
1998-05-20;6:05;35;max;00251
1998-05-20;12:10;-12;min;00251
1998-05-20;19:05;55;max;00251
1998-05-21;1:20;1;min;00251
1998-05-21;6:55;39;max;00251
1998-05-21;13:00;-16;min;00251
1998-05-21;20:00;68;max;00251
1998-05-22;2:55;-5;min;00251
1998-05-22;7:45;39;max;00251
1998-05-22;13:35;-10;min;00251
1998-05-22;20:55;84;max;00251
1998-05-23;3:45;-20;min;00251
1998-05-23;9:10;39;max;00251
1998-05-23;14:10;-8;min;00251
1998-05-23;21:15;82;max;00251
1998-05-24;4:20;-37;min;00251
1998-05-24;10:25;52;max;00251
1998-05-24;15:10;4;min;00251
1998-05-24;21:40;87;max;00251
1998-05-25;4:45;-40;min;00251
1998-05-25;11:15;58;max;00251
1998-05-25;15:50;20;min;00251
1998-05-25;21:55;81;max;00251
1998-05-26;5:25;-42;min;00251
1998-05-26;11:50;67;max;00251
1998-05-26;17:05;14;min;00251
1998-05-26;22:30;75;max;00251
1998-05-27;5:45;-33;min;00251
1998-05-27;12:20;64;max;00251
1998-05-27;17:35;14;min;00251
1998-05-27;23:00;68;max;00251
1998-05-28;6:30;-28;min;00251
1998-05-28;13:10;65;max;00251
1998-05-28;18:30;14;min;00251
1998-05-28;0:00;72;max;00251
1998-05-29;6:20;-25;min;00251
1998-05-29;14:25;65;max;00251
1998-05-29;18:50;28;min;00251
1998-05-29;23:40;56;max;00251
1998-05-30;6:55;-21;min;00251
1998-05-30;15:05;62;max;00251
1998-05-30;20:25;25;min;00251
1998-05-31;0:35;41;max;00251
1998-05-31;7:40;-8;min;00251
1998-05-31;15:45;55;max;00251
1998-05-31;23:05;23;min;00251
1998-06-01;2:05;39;max;00251
1998-06-01;10:15;4;min;00251
1998-06-01;16:35;55;max;00251
1998-06-01;22:30;24;min;00251
1998-06-02;3:00;30;max;00251
1998-06-02;10:25;-1;min;00251
1998-06-02;18:25;52;max;00251
1998-06-03;1:20;15;min;00251
1998-06-03;6:20;23;max;00251
1998-06-03;11:50;-4;min;00251
1998-06-03;18:35;54;max;00251
1998-06-04;2:35;4;min;00251
1998-06-04;6:50;23;max;00251
1998-06-04;12:30;3;min;00251
1998-06-04;19:35;60;max;00251
1998-06-05;2:55;-10;min;00251
1998-06-05;8:40;25;max;00251
1998-06-05;13:30;4;min;00251
1998-06-05;20:25;65;max;00251
1998-06-06;3:05;-25;min;00251
1998-06-06;9:20;36;max;00251
1998-06-06;13:45;8;min;00251
1998-06-06;20:05;67;max;00251
1998-06-07;3:45;-24;min;00251
1998-06-07;10:10;50;max;00251
1998-06-07;14:40;17;min;00251
1998-06-07;20:35;68;max;00251
1998-06-08;4:00;-25;min;00251
1998-06-08;10:50;55;max;00251
1998-06-08;15:40;12;min;00251
1998-06-08;21:35;68;max;00251
1998-06-09;4:35;-34;min;00251
1998-06-09;11:05;56;max;00251
1998-06-09;16:10;8;min;00251
1998-06-09;22:05;72;max;00251
1998-06-10;4:55;-31;min;00251
1998-06-10;11:30;55;max;00251
1998-06-10;16:30;12;min;00251
1998-06-10;22:45;79;max;00251
1998-06-11;5:30;-24;min;00251
1998-06-11;12:30;60;max;00251
1998-06-11;16:55;27;min;00251
1998-06-11;23:20;80;max;00251
1998-06-12;5:45;-25;min;00251
1998-06-12;13:10;60;max;00251
1998-06-12;18:05;31;min;00251
1998-06-12;23:25;65;max;00251
1998-06-13;6:30;-31;min;00251
1998-06-13;13:55;63;max;00251
1998-06-13;19:55;27;min;00251
1998-06-14;0:30;55;max;00251
1998-06-14;7:05;-21;min;00251
1998-06-14;14:25;64;max;00251
1998-06-14;19:45;19;min;00251
1998-06-15;1:15;49;max;00251
1998-06-15;7:40;-12;min;00251
1998-06-15;15:15;57;max;00251
1998-06-15;20:50;23;min;00251
1998-06-16;1:35;48;max;00251
1998-06-16;8:40;-15;min;00251
1998-06-16;16:55;55;max;00251
1998-06-16;22:40;25;min;00251
1998-06-17;1:05;35;max;00251
1998-06-17;10:40;-15;min;00251
1998-06-17;17:25;52;max;00251
1998-06-18;2:40;-1;min;00251
1998-06-18;6:35;8;max;00251
1998-06-18;11:20;-17;min;00251
1998-06-18;18:40;63;max;00251
1998-06-19;1:40;-28;min;00251
1998-06-19;7:15;17;max;00251
1998-06-19;11:50;-8;min;00251
1998-06-19;18:40;60;max;00251
1998-06-20;2:10;-37;min;00251
1998-06-20;8:20;26;max;00251
1998-06-20;13:10;-2;min;00251
1998-06-20;19:35;52;max;00251
1998-06-21;3:05;-41;min;00251
1998-06-21;9:15;40;max;00251
1998-06-21;14:30;-2;min;00251
1998-06-21;20:50;57;max;00251
1998-06-22;3:40;-40;min;00251
1998-06-22;10:00;47;max;00251
1998-06-22;15:00;-7;min;00251
1998-06-22;21:25;68;max;00251
1998-06-23;4:25;-37;min;00251
1998-06-23;10:40;44;max;00251
1998-06-23;15:55;1;min;00251
1998-06-23;22:10;70;max;00251
1998-06-24;5:25;-47;min;00251
1998-06-24;11:55;48;max;00251
1998-06-24;16:35;7;min;00251
1998-06-24;22:40;72;max;00251
1998-06-25;5:45;-47;min;00251
1998-06-25;12:30;55;max;00251
1998-06-25;17:30;12;min;00251
1998-06-25;23:00;70;max;00251
1998-06-26;6:15;-41;min;00251
1998-06-26;13:00;59;max;00251
1998-06-26;18:10;11;min;00251
1998-06-26;23:30;62;max;00251
1998-06-27;6:45;-33;min;00251
1998-06-27;13:30;57;max;00251
1998-06-27;18:45;16;min;00251
1998-06-28;0:05;55;max;00251
1998-06-28;7:10;-24;min;00251
1998-06-28;14:20;57;max;00251
1998-06-28;19:45;22;min;00251
